Id,Label
224,2
767,2
785,2
1497,2
2426,2
2692,2
2840,2
3310,2
3364,2
4999,2
5658,2
5702,2
10345,2
11519,2
12514,2
12916,2
13413,2
15383,2
15453,2
29283,2
30953,2
36623,2
38003,2
43603,2
61743,2
62103,2
66873,2
68093,2
71263,2
74013,2
74613,2
91443,2
140073,2
148663,2
246103,2
367693,2
383593,2
401083,2
428333,2
459663,2
483223,2
607093,2
614853,2
624413,2
635553,2
640893,2
643753,2
645943,2
656933,2
661173,2
662533,2
670103,2
671543,2
672213,2
677103,2
696163,2
697933,2
699793,2
704413,2
711953,2
717133,2
717973,2
739933,2
742143,2
750213,2
755113,2
755504,2
755768,2
755970,2
756287,2
756373,2
759066,2
759251,2
759421,2
761443,2
771521,2
776260,2
778086,2
782325,2
784999,2
786764,2
788098,2
788524,2
788673,2
789158,2
800091,2
801882,2
806122,2
807095,2
807824,2
817113,2
817268,2
820585,2
822655,2
823420,2
824157,2
851361,2
860841,2
868651,2
926601,2
928481,2
932781,2
950531,2
957001,2
972811,2
973531,2
980611,2
1033281,2
1044241,2
1049171,2
1062161,2
1088901,2
1089191,0
1101251,2
1124971,2
1140451,2
1171621,2
1175221,2
1179331,2
1182851,2
1203161,2
1218261,2
1222781,2
1251131,2
1270191,2
1270851,2
1286821,2
1308221,2
1322111,2
1337371,2
1349111,2
1354481,2
1366631,2
1368451,2
1383161,2
1386201,2
1393551,2
1394361,2
1397911,2
1417921,2
1471971,2
1488641,2
1520501,2
1545381,2
1550671,2
1552371,2
1559801,2
1596091,2
1599171,2
1652541,2
1662891,2
1680191,2
1716121,2
1720501,2
1733741,2
1740991,2
1759181,2
1760431,2
1777681,2
1781551,2
1804031,2
1819261,2
1902021,2
1902491,2
1912681,2
1917731,2
1925401,2
1982321,2
1994321,2
2052731,2
2063181,2
2065391,2
2070841,2
2093881,2
2097571,2
2132641,2
2139671,2
2140011,2
2199541,2
2200221,2
2213981,2
2233321,2
2249531,2
2267241,2
2285921,2
2369471,2
2467791,2
2582861,2
2625451,2
2682771,2
2718501,2
2765491,2
2768501,2
2772041,2
2780021,2
2816371,2
2836421,2
2882271,2
2884771,2
2896671,2
2988601,2
2992751,2
3044661,2
3108351,2
3114191,2
3135661,2
3176101,2
3202281,2
3221271,2
3230941,2
3237221,0
3250841,2
3370001,2
3376281,2
3383771,2
3417351,2
3460401,2
3479311,2
3497941,2
3510591,2
3530911,2
3533231,2
3535921,2
3632161,2
3669621,2
3669631,2
3702651,2
3742901,2
3768771,0
3817401,2
3921281,2
3932741,2
3934221,2
3952661,2
4035141,2
4039221,2
4056561,2
4072401,2
4073591,2
4094791,2
4107581,2
4119741,2
4132841,2
4134201,2
4139771,2
4207021,2
4207961,2
4214321,2
4233671,2
